,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
401,2018,515,0,CENTRO DE DIAGNOSTICO, , ,9,4,41,4101,LA SERENA,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
402,2018,516,9,LICEO GABRIELA MISTRAL DE LA SERENA, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,90327644","-71,24479675",1,110,310,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
403,2018,517,7,LICEO GREGORIO CORDOVEZ, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,9029541","-71,24336243",1,110,310,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
404,2018,518,5,LICEO TECNICO MARTA BRUNET, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,90632629","-71,25396729",1,410,610,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
405,2018,519,3,COLEGIO ARTURO PRAT CHACON, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,8785305","-71,24057007",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
406,2018,520,7,COLEGIO JOSE GASPAR MARIN ESQUIVEL, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,91459711","-71,22313586",0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
407,2018,521,5,COLEGIO VICTOR DOMINGO SILVA, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,93177414","-71,25061035",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
408,2018,522,3,COLEGIO JAVIERA CARRERA, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,90608978","-71,25514984",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
409,2018,523,1,ESCUELA ALONSO DE ERCILLA, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,87552834","-71,24737549",1,10,110,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,GRATUITO
410,2018,525,8,COLEGIO JAPON, ,70892100,1,4,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,90683937","-71,24637604",1,10,110,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
