,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
401,2019,515,0,CENTRO DE DIAGNOSTICO, , ,9,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
402,2019,516,9,LICEO GABRIELA MISTRAL DE LA SERENA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,903276440000","-71,244796750000",1,110,310,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
403,2019,517,7,LICEO GREGORIO CORDOVEZ, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,902954100000","-71,243362430000",1,110,310,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
404,2019,518,5,LICEO TECNICO MARTA BRUNET, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,906326290000","-71,253967290000",1,410,610,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
405,2019,519,3,COLEGIO ARTURO PRAT CHACON, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,878530500000","-71,240570070000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
406,2019,520,7,COLEGIO JOSE GASPAR MARIN ESQUIVEL, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,91459711","-71,22313586",0,0,0,0,0,0,0,0,0,0,0,0,0,3,9, ,SIN INFORMACION,SIN INFORMACION
407,2019,521,5,COLEGIO VICTOR DOMINGO SILVA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,931774140000","-71,250610350000",1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
408,2019,522,3,COLEGIO JAVIERA CARRERA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,906089780000","-71,255149840000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
409,2019,523,1,ESCUELA ALONSO DE ERCILLA, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,875528340000","-71,247375490000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
410,2019,525,8,COLEGIO JAPON, ,70892100,1,4,COQ,41,4101,LA SERENA,41,ELQUI,1,1,0,"-29,906839370000","-71,246376040000",1,10,110,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO
